"Gender = Female";"Gender = Male";"Customer Type = Loyal Customer";"Customer Type = disloyal Customer";"Type of Travel = Business travel";"Type of Travel = Personal Travel";"Class = Eco";"Class = Business";"Class = Eco Plus";"Age";"Flight Distance";"Inflight wifi service";"Departure/Arrival time convenient";"Ease of Online booking";"Gate location";"Food and drink";"Online boarding";"Seat comfort";"Inflight entertainment";"On-board service";"Leg room service";"Baggage handling";"Checkin service";"Inflight service";"Cleanliness";"Departure Delay in Minutes";"Arrival Delay in Minutes";"satisfaction"
1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.24358974358974358;0.1781098546042003;0.2;0.4;0.4;0.25;0.8;0.4;0.5;0.8;0.6;0.4;0.0;0.0;0.8;0.8;0.0;0.0;"neutral or dissatisfied"
1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.5512820512820513;0.02201130856219709;0.4;0.8;0.4;0.75;0.8;0.8;1.0;0.4;0.4;0.4;0.25;0.5;0.4;1.0;0.0;0.0;"neutral or dissatisfied"
1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.3076923076923077;0.061187399030694666;0.4;0.2;0.4;0.75;1.0;0.4;1.0;1.0;0.4;0.8;0.5;0.25;0.8;1.0;0.004432624113475178;0.0;"neutral or dissatisfied"
1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.3974358974358974;0.07390953150242327;0.4;1.0;0.4;0.25;1.0;0.4;1.0;1.0;1.0;0.8;0.75;1.0;1.0;1.0;0.0;0.0;"neutral or dissatisfied"
1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.3717948717948718;0.2079967689822294;0.4;0.4;0.4;0.0;0.8;0.4;0.75;0.8;0.2;0.8;0.25;0.75;0.4;0.8;0.01152482269503546;0.0;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.6282051282051282;0.5098949919224556;0.8;0.8;0.8;0.75;0.8;1.0;0.75;0.8;0.8;0.8;0.75;0.5;0.8;1.0;0.10372340425531915;0.10134529147982063;"satisfied"
1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.32051282051282054;0.5325121163166397;1.0;1.0;0.8;1.0;0.8;0.8;0.75;0.8;1.0;0.4;1.0;1.0;1.0;0.8;0.0017730496453900709;0.0;"satisfied"
0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.1794871794871795;0.21506462035541196;0.4;0.4;0.4;0.75;0.4;0.4;0.5;0.4;0.6;0.2;0.5;0.25;0.8;0.4;0.0;0.0;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.3974358974358974;0.5482633279483037;0.4;0.4;0.4;0.25;0.4;1.0;0.25;0.8;0.8;0.8;0.75;0.0;0.8;1.0;0.0;0.0;"satisfied"
0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.19230769230769232;0.7304119547657512;0.4;0.4;0.4;0.25;0.6;0.6;0.5;0.6;0.4;0.8;0.5;1.0;0.6;0.6;0.0;0.0;"satisfied"
1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.46153846153846156;0.1074313408723748;0.8;0.8;0.8;0.75;0.6;1.0;1.0;0.8;0.8;0.8;0.75;1.0;0.8;1.0;0.0;0.0;"satisfied"
1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.6282051282051282;0.2338449111470113;1.0;1.0;0.6;1.0;1.0;0.8;1.0;0.4;0.4;0.4;0.25;0.75;0.4;0.6;0.007978723404255319;0.0;"satisfied"
0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.10256410256410256;0.08441033925686592;0.2;0.8;0.2;0.25;0.6;0.2;0.75;0.6;0.2;0.6;1.0;0.75;1.0;0.6;0.0;0.0;"neutral or dissatisfied"
1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.7692307692307693;0.13368336025848143;0.6;0.2;0.6;0.0;1.0;0.2;0.25;0.2;0.2;0.6;0.0;0.0;0.2;0.8;0.08865248226950355;0.08161434977578476;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.47435897435897434;0.24596122778675283;0.6;0.8;0.6;0.5;1.0;0.6;1.0;1.0;1.0;0.4;0.5;0.75;0.8;1.0;0.022163120567375887;0.0053811659192825115;"neutral or dissatisfied"
1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.19230769230769232;0.05109046849757674;0.6;1.0;0.6;0.0;0.6;0.6;0.5;0.6;0.8;1.0;1.0;0.5;1.0;0.6;0.030141843971631204;0.03139013452914798;"neutral or dissatisfied"
1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.5128205128205128;0.18840872374798062;1.0;1.0;0.8;1.0;1.0;0.8;1.0;1.0;1.0;1.0;1.0;0.75;1.0;0.6;8.865248226950354E-4;0.0026905829596412557;"satisfied"
0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.07692307692307693;0.2197092084006462;0.2;1.0;0.2;0.5;0.4;0.2;0.25;0.4;0.6;0.8;0.75;1.0;1.0;0.4;0.0;0.0;"neutral or dissatisfied"
1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.48717948717948717;0.1470113085621971;0.4;0.4;0.4;0.25;0.4;0.4;0.0;0.4;0.4;0.4;0.25;0.5;0.4;0.8;0.020390070921985817;0.08430493273542601;"neutral or dissatisfied"
0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.23076923076923078;0.05351373182552504;0.0;0.0;0.0;0.5;0.4;0.0;0.25;0.4;0.8;0.8;0.75;1.0;1.0;0.4;0.0;0.0;"satisfied"
1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.41025641025641024;0.19668820678513732;0.2;0.8;0.4;0.5;0.4;0.2;1.0;1.0;0.4;0.8;1.0;1.0;0.8;1.0;0.14893617021276595;0.14618834080717488;"neutral or dissatisfied"
1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.6923076923076923;0.23949919224555735;0.0;0.8;0.0;0.0;1.0;1.0;1.0;0.8;0.8;0.0;0.75;0.75;0.8;0.8;0.0;0.0;"satisfied"
0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.11538461538461539;0.5159531502423264;0.6;1.0;0.6;0.75;0.8;0.6;0.75;0.8;1.0;0.4;0.75;1.0;0.8;0.8;0.0398936170212766;0.03766816143497758;"neutral or dissatisfied"
1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.5897435897435898;0.510702746365105;1.0;1.0;1.0;1.0;1.0;0.8;1.0;0.6;0.6;0.6;0.5;0.5;0.6;0.6;0.0;0.0026905829596412557;"satisfied"
1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.2564102564102564;0.1928513731825525;0.4;0.2;0.2;0.5;0.2;0.4;0.0;0.2;0.2;1.0;0.0;0.0;0.6;0.2;0.02127659574468085;0.028699551569506727;"neutral or dissatisfied"
1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.5769230769230769;0.17932148626817448;0.6;0.8;0.8;0.75;0.6;0.4;0.25;0.6;0.6;0.6;0.5;0.0;0.6;0.2;0.07535460992907801;0.06457399103139014;"neutral or dissatisfied"
1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.01282051282051282;0.4161954765751212;0.4;0.6;0.6;0.5;0.8;0.4;0.75;0.8;0.8;0.6;0.5;0.5;0.6;0.8;0.02304964539007092;0.02062780269058296;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.6666666666666666;0.502827140549273;0.2;0.2;0.2;0.5;0.2;0.6;1.0;0.4;0.6;0.6;0.25;1.0;0.4;1.0;0.0;0.0017937219730941704;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.6025641025641025;0.34531502423263327;0.2;0.2;0.2;0.0;0.8;0.8;1.0;0.8;0.8;0.8;0.75;0.75;0.8;0.6;0.0;0.0;"satisfied"
1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.32051282051282054;0.20294830371567044;0.2;1.0;0.2;0.25;1.0;0.2;1.0;1.0;1.0;1.0;1.0;1.0;0.8;1.0;0.010638297872340425;0.008071748878923767;"neutral or dissatisfied"
1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.2564102564102564;0.21203554119547657;0.2;0.2;0.2;0.75;0.4;0.2;0.25;0.4;0.2;1.0;0.5;0.5;0.2;0.4;0.0035460992907801418;0.0;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.14054927302100162;0.2;1.0;0.2;0.5;0.8;0.2;0.75;0.8;0.8;0.2;0.0;1.0;0.8;0.8;0.0;0.0;"neutral or dissatisfied"
1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.7435897435897436;0.24596122778675283;0.6;1.0;0.6;0.25;0.8;0.8;0.75;0.6;0.6;0.6;0.5;0.75;0.6;1.0;0.03546099290780142;0.039461883408071746;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.5512820512820513;0.5216074313408724;0.4;0.4;0.4;0.25;1.0;0.8;0.75;0.4;0.8;0.8;0.25;0.75;0.4;0.8;0.0;0.008071748878923767;"satisfied"
0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.4358974358974359;0.12318255250403877;1.0;0.2;0.2;0.0;1.0;1.0;1.0;1.0;0.6;0.8;0.5;1.0;1.0;1.0;0.0;0.0;"satisfied"
1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.5384615384615384;0.1308562197092084;0.2;0.2;0.2;0.0;0.4;1.0;0.75;0.8;0.8;0.8;0.75;0.25;0.8;0.2;0.04521276595744681;0.06367713004484304;"satisfied"
0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.3333333333333333;0.0791599353796446;0.8;0.8;0.8;0.5;0.8;0.8;0.75;0.8;0.6;0.4;0.75;1.0;1.0;0.8;0.0;0.004484304932735426;"neutral or dissatisfied"
1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.358974358974359;0.7677705977382876;0.6;0.6;0.6;0.5;0.6;0.4;0.5;1.0;1.0;1.0;1.0;0.75;1.0;0.8;0.0;0.0026905829596412557;"satisfied"
0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.28205128205128205;0.05936995153473344;0.8;0.6;0.8;0.75;1.0;0.8;1.0;1.0;0.4;1.0;0.75;0.5;0.8;1.0;0.0;0.0;"satisfied"
1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.7307692307692307;0.12520193861066237;0.8;1.0;0.8;0.75;0.4;0.8;0.75;0.4;0.4;0.8;0.25;0.5;0.4;1.0;0.0;0.0;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.5512820512820513;0.7027463651050081;0.6;1.0;0.6;1.0;0.2;0.2;0.0;0.6;0.6;0.6;0.5;0.75;0.6;0.6;0.0;0.02600896860986547;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.34615384615384615;0.7340468497576736;0.8;0.8;0.8;0.75;1.0;0.8;1.0;1.0;1.0;1.0;1.0;0.5;1.0;0.6;0.0;0.0;"satisfied"
1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.6538461538461539;0.6126817447495961;0.0;1.0;0.0;0.5;0.8;0.8;0.75;0.4;0.4;0.4;0.25;0.75;0.4;0.6;0.0;0.0;"satisfied"
1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.5897435897435898;0.07532310177705977;0.8;0.8;0.8;0.75;1.0;0.8;1.0;0.6;0.6;0.8;1.0;1.0;0.6;1.0;0.018617021276595744;0.011659192825112108;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.23076923076923078;0.12419224555735056;0.8;1.0;1.0;1.0;0.8;0.8;0.75;0.8;0.6;0.8;1.0;1.0;0.6;0.8;0.01152482269503546;0.003587443946188341;"satisfied"
1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.5384615384615384;0.033521809369951534;0.4;0.6;0.4;0.75;0.8;0.8;0.5;0.6;0.6;0.4;0.25;0.5;0.6;0.2;0.0026595744680851063;0.0;"neutral or dissatisfied"
1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.1794871794871795;0.0747172859450727;0.6;0.4;1.0;0.5;1.0;1.0;1.0;1.0;0.6;0.4;0.5;0.75;0.6;1.0;0.06294326241134751;0.10493273542600896;"neutral or dissatisfied"
1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.1282051282051282;0.3758077544426494;0.2;0.2;0.2;0.25;0.2;0.2;0.25;0.2;0.4;0.8;0.25;0.25;0.6;0.2;0.0;0.0;"neutral or dissatisfied"
1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.5512820512820513;0.015751211631663976;1.0;0.2;0.2;0.0;0.8;1.0;0.0;1.0;1.0;1.0;1.0;0.5;1.0;0.4;0.0;0.009865470852017937;"satisfied"
1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.2564102564102564;0.5545234248788369;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.2;0.5;0.5;0.4;1.0;0.0017730496453900709;0.0;"satisfied"
0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.5769230769230769;0.018982229402261713;0.6;1.0;0.6;0.25;0.6;0.6;0.25;0.6;0.6;1.0;0.25;0.0;0.6;0.6;0.0;0.0;"neutral or dissatisfied"
1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.10256410256410256;0.1928513731825525;0.4;0.4;0.4;1.0;0.2;0.4;0.0;0.2;1.0;1.0;1.0;1.0;0.8;0.2;0.0;0.0053811659192825115;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.14102564102564102;0.1538772213247173;0.8;0.8;0.8;1.0;0.6;0.8;0.75;0.6;0.6;0.8;1.0;0.75;0.8;0.6;0.08067375886524823;0.06367713004484304;"satisfied"
0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.2692307692307692;0.05815831987075929;1.0;1.0;1.0;0.5;0.8;1.0;1.0;0.8;1.0;0.8;0.75;0.5;0.8;0.8;0.0;0.0;"satisfied"
1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.3076923076923077;0.046445880452342485;0.6;0.8;0.6;0.75;0.6;0.6;0.5;0.6;0.2;1.0;0.75;0.25;0.8;0.6;0.07712765957446809;0.06726457399103139;"neutral or dissatisfied"
1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.23076923076923078;0.033319870759289175;0.4;0.8;0.4;0.75;1.0;0.4;1.0;1.0;1.0;0.8;1.0;1.0;0.2;1.0;0.0;0.004484304932735426;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.23076923076923078;0.7707996768982229;0.2;0.4;0.2;0.0;0.8;0.8;0.75;0.8;0.2;1.0;0.25;0.0;0.4;0.8;0.0;0.0;"satisfied"
1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.8076923076923077;0.07633279483037157;0.6;1.0;0.6;0.5;0.4;0.8;1.0;1.0;1.0;0.6;0.0;0.5;1.0;0.6;0.0;0.012556053811659192;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.3333333333333333;0.7366720516962844;0.4;0.4;0.4;0.25;1.0;1.0;1.0;1.0;0.6;0.6;1.0;0.25;0.4;1.0;0.0;0.0;"satisfied"
0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.28205128205128205;0.212843295638126;0.8;0.8;0.6;1.0;0.4;0.6;0.25;0.4;0.8;1.0;0.75;0.5;1.0;0.4;0.0070921985815602835;0.009865470852017937;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.34615384615384615;0.7615105008077544;0.0;0.0;0.0;0.75;0.6;0.8;0.0;0.4;0.4;0.4;0.25;0.25;0.4;0.4;0.0;0.0;"satisfied"
0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.3717948717948718;0.15811793214862682;0.2;0.0;0.2;0.25;1.0;0.2;1.0;1.0;0.8;1.0;1.0;0.0;1.0;1.0;0.028368794326241134;0.010762331838565023;"neutral or dissatisfied"
1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.4230769230769231;0.10359450726978998;0.8;0.8;0.8;0.75;0.8;0.8;0.75;0.8;0.8;0.8;0.75;0.75;0.8;1.0;0.0;0.0;"satisfied"
0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.3076923076923077;0.316437802907916;1.0;1.0;1.0;1.0;0.8;0.8;0.75;0.8;0.6;0.8;1.0;1.0;0.8;0.8;0.0;0.0;"satisfied"
1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.44871794871794873;0.05270597738287561;1.0;0.4;0.4;0.25;1.0;0.4;0.25;1.0;1.0;1.0;1.0;0.25;1.0;1.0;0.028368794326241134;0.02600896860986547;"satisfied"
1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.5256410256410257;0.10359450726978998;0.4;0.4;0.4;0.25;0.8;0.8;1.0;0.8;0.8;1.0;0.75;0.5;0.8;1.0;0.0549645390070922;0.04125560538116592;"satisfied"
1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.3717948717948718;0.08562197092084006;0.6;0.2;0.2;0.0;0.6;0.6;0.5;0.6;0.8;0.8;0.5;0.75;0.6;0.6;0.0;0.0;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.11538461538461539;0.05593699515347334;0.6;0.8;0.6;0.5;0.2;0.6;1.0;0.2;0.8;0.4;1.0;1.0;0.8;0.2;0.0017730496453900709;0.0;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.3717948717948718;0.03210823909531502;0.6;0.4;0.4;0.25;0.6;0.8;0.5;0.6;0.2;0.4;0.0;0.25;0.6;0.6;0.0;0.0;"satisfied"
1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.038461538461538464;0.16579159935379645;0.4;1.0;0.4;0.25;0.8;0.4;0.75;0.8;0.8;1.0;1.0;0.75;0.8;0.8;8.865248226950354E-4;8.968609865470852E-4;"neutral or dissatisfied"
1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.5;0.07431340872374798;0.4;0.8;0.6;0.25;0.8;0.8;1.0;0.8;0.8;0.6;0.75;0.75;0.8;0.6;0.0;0.0;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.3717948717948718;0.34592084006462037;0.4;0.2;0.4;0.75;0.2;0.4;0.0;0.2;0.6;0.2;0.25;0.75;0.8;0.2;0.0;0.0;"neutral or dissatisfied"
1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.10256410256410256;0.16781098546042003;0.2;1.0;0.2;0.75;0.8;0.2;0.75;0.8;0.8;0.6;0.75;1.0;1.0;0.8;0.0;8.968609865470852E-4;"neutral or dissatisfied"
0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.16666666666666666;0.05088852988691438;1.0;0.0;1.0;0.25;1.0;1.0;1.0;1.0;0.8;1.0;1.0;1.0;1.0;1.0;0.01152482269503546;0.007174887892376682;"satisfied"
0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.5;0.24676898222940227;0.6;0.6;0.6;0.5;0.4;0.6;0.25;0.4;0.2;0.8;0.75;0.0;0.6;0.4;0.0;0.0;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.6282051282051282;0.6690226171243941;0.0;1.0;0.0;0.0;0.6;0.8;0.75;0.4;0.4;0.4;0.25;0.75;0.4;1.0;0.0;0.0017937219730941704;"satisfied"
0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.14102564102564102;0.2845315024232633;0.2;0.8;0.2;0.0;1.0;0.2;1.0;1.0;0.6;0.6;0.5;1.0;0.8;1.0;0.0026595744680851063;0.0;"neutral or dissatisfied"
1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.5769230769230769;0.489297253634895;0.2;0.2;0.2;0.75;0.8;0.6;0.75;0.8;0.8;0.2;0.75;0.25;0.8;0.8;0.0;0.0;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.6666666666666666;0.2574717285945073;0.6;1.0;0.4;0.5;1.0;0.4;1.0;1.0;0.8;0.8;0.5;1.0;0.8;1.0;0.0;0.0;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.7564102564102564;0.05109046849757674;0.6;0.8;0.6;0.5;1.0;1.0;1.0;0.4;0.4;0.6;0.25;0.75;0.4;0.6;0.0;0.0;"neutral or dissatisfied"
1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.3974358974358974;0.3741922455573506;0.2;0.2;0.2;0.0;1.0;0.4;1.0;0.8;0.8;1.0;0.75;0.75;0.8;1.0;0.0;0.0;"satisfied"
0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.21794871794871795;0.11369143780290791;0.6;0.6;0.8;0.75;0.4;0.8;0.25;0.4;0.6;0.2;0.5;0.0;0.4;0.4;0.0;0.0;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.8205128205128205;0.1938610662358643;0.4;0.2;0.2;0.0;0.2;0.4;0.0;0.2;0.4;0.6;0.75;0.75;0.6;0.2;0.0026595744680851063;0.0;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.47435897435897434;0.7102180936995154;0.8;0.2;0.8;0.75;1.0;1.0;0.75;0.8;0.8;1.0;0.75;1.0;0.8;0.8;0.0;0.007174887892376682;"satisfied"
1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.5384615384615384;0.4448707592891761;0.2;0.2;0.2;0.0;0.8;1.0;1.0;0.4;0.4;0.4;0.25;0.5;0.4;0.6;0.0;0.0;"satisfied"
1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.19230769230769232;0.46163166397415184;0.4;0.4;0.4;0.25;0.8;0.8;0.75;0.8;1.0;1.0;0.75;0.5;1.0;0.8;0.0026595744680851063;0.008071748878923767;"satisfied"
0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.6025641025641025;0.27221324717285944;0.2;0.8;0.2;0.25;0.2;0.2;0.0;0.2;0.8;1.0;0.75;1.0;1.0;0.2;0.00975177304964539;0.003587443946188341;"neutral or dissatisfied"
0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.3333333333333333;0.4581987075928918;0.4;0.8;0.8;0.75;0.4;0.4;0.25;0.4;0.2;0.8;0.5;0.5;0.8;0.4;0.020390070921985817;0.04125560538116592;"neutral or dissatisfied"
1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.3717948717948718;0.3295638126009693;1.0;0.6;1.0;1.0;0.8;0.8;1.0;0.6;0.6;0.6;0.5;0.5;0.6;0.6;0.0;0.0;"satisfied"
1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.44871794871794873;0.23929725363489499;0.8;0.2;0.8;0.5;0.8;0.4;0.5;0.2;0.2;0.8;0.25;0.5;0.2;0.8;0.0;0.0017937219730941704;"neutral or dissatisfied"
1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.2564102564102564;0.03231017770597738;0.4;0.2;0.6;0.5;0.8;0.6;0.75;0.8;0.2;1.0;0.75;0.5;0.8;0.8;0.02127659574468085;0.016143497757847534;"neutral or dissatisfied"
