@relation airplane_classification_preprocess_train

@attribute 'Gender = Female' numeric
@attribute 'Gender = Male' numeric
@attribute 'Customer Type = Loyal Customer' numeric
@attribute 'Customer Type = disloyal Customer' numeric
@attribute 'Type of Travel = Business travel' numeric
@attribute 'Type of Travel = Personal Travel' numeric
@attribute 'Class = Eco' numeric
@attribute 'Class = Business' numeric
@attribute 'Class = Eco Plus' numeric
@attribute Age numeric
@attribute 'Flight Distance' numeric
@attribute 'Inflight wifi service' numeric
@attribute 'Departure/Arrival time convenient' numeric
@attribute 'Ease of Online booking' numeric
@attribute 'Gate location' numeric
@attribute 'Food and drink' numeric
@attribute 'Online boarding' numeric
@attribute 'Seat comfort' numeric
@attribute 'Inflight entertainment' numeric
@attribute 'On-board service' numeric
@attribute 'Leg room service' numeric
@attribute 'Baggage handling' numeric
@attribute 'Checkin service' numeric
@attribute 'Inflight service' numeric
@attribute Cleanliness numeric
@attribute 'Departure Delay in Minutes' numeric
@attribute 'Arrival Delay in Minutes' numeric
@attribute satisfaction {'neutral or dissatisfied',satisfied}

@data
1,0,0,1,1,0,0,0,1,0.24359,0.17811,0.2,0.4,0.4,0.25,0.8,0.4,0.5,0.8,0.6,0.4,0,0,0.8,0.8,0,0,'neutral or dissatisfied'
1,0,1,0,0,1,1,0,0,0.551282,0.022011,0.4,0.8,0.4,0.75,0.8,0.8,1,0.4,0.4,0.4,0.25,0.5,0.4,1,0,0,'neutral or dissatisfied'
1,0,1,0,0,1,0,1,0,0.307692,0.061187,0.4,0.2,0.4,0.75,1,0.4,1,1,0.4,0.8,0.5,0.25,0.8,1,0.004433,0,'neutral or dissatisfied'
1,0,1,0,0,1,1,0,0,0.397436,0.07391,0.4,1,0.4,0.25,1,0.4,1,1,1,0.8,0.75,1,1,1,0,0,'neutral or dissatisfied'
1,0,0,1,1,0,1,0,0,0.371795,0.207997,0.4,0.4,0.4,0,0.8,0.4,0.75,0.8,0.2,0.8,0.25,0.75,0.4,0.8,0.011525,0,'neutral or dissatisfied'
0,1,1,0,1,0,0,1,0,0.628205,0.509895,0.8,0.8,0.8,0.75,0.8,1,0.75,0.8,0.8,0.8,0.75,0.5,0.8,1,0.103723,0.101345,satisfied
1,0,1,0,1,0,0,1,0,0.320513,0.532512,1,1,0.8,1,0.8,0.8,0.75,0.8,1,0.4,1,1,1,0.8,0.001773,0,satisfied
0,1,1,0,0,1,1,0,0,0.179487,0.215065,0.4,0.4,0.4,0.75,0.4,0.4,0.5,0.4,0.6,0.2,0.5,0.25,0.8,0.4,0,0,'neutral or dissatisfied'
0,1,1,0,1,0,0,1,0,0.397436,0.548263,0.4,0.4,0.4,0.25,0.4,1,0.25,0.8,0.8,0.8,0.75,0,0.8,1,0,0,satisfied
0,1,1,0,1,0,0,1,0,0.192308,0.730412,0.4,0.4,0.4,0.25,0.6,0.6,0.5,0.6,0.4,0.8,0.5,1,0.6,0.6,0,0,satisfied
1,0,1,0,1,0,1,0,0,0.461538,0.107431,0.8,0.8,0.8,0.75,0.6,1,1,0.8,0.8,0.8,0.75,1,0.8,1,0,0,satisfied
1,0,1,0,1,0,0,1,0,0.628205,0.233845,1,1,0.6,1,1,0.8,1,0.4,0.4,0.4,0.25,0.75,0.4,0.6,0.007979,0,satisfied
0,1,0,1,1,0,1,0,0,0.102564,0.08441,0.2,0.8,0.2,0.25,0.6,0.2,0.75,0.6,0.2,0.6,1,0.75,1,0.6,0,0,'neutral or dissatisfied'
1,0,1,0,0,1,0,0,1,0.769231,0.133683,0.6,0.2,0.6,0,1,0.2,0.25,0.2,0.2,0.6,0,0,0.2,0.8,0.088652,0.081614,'neutral or dissatisfied'
0,1,1,0,0,1,1,0,0,0.474359,0.245961,0.6,0.8,0.6,0.5,1,0.6,1,1,1,0.4,0.5,0.75,0.8,1,0.022163,0.005381,'neutral or dissatisfied'
1,0,1,0,0,1,1,0,0,0.192308,0.05109,0.6,1,0.6,0,0.6,0.6,0.5,0.6,0.8,1,1,0.5,1,0.6,0.030142,0.03139,'neutral or dissatisfied'
1,0,1,0,1,0,0,1,0,0.512821,0.188409,1,1,0.8,1,1,0.8,1,1,1,1,1,0.75,1,0.6,0.000887,0.002691,satisfied
0,1,1,0,0,1,1,0,0,0.076923,0.219709,0.2,1,0.2,0.5,0.4,0.2,0.25,0.4,0.6,0.8,0.75,1,1,0.4,0,0,'neutral or dissatisfied'
1,0,1,0,1,0,0,1,0,0.487179,0.147011,0.4,0.4,0.4,0.25,0.4,0.4,0,0.4,0.4,0.4,0.25,0.5,0.4,0.8,0.02039,0.084305,'neutral or dissatisfied'
0,1,0,1,1,0,0,1,0,0.230769,0.053514,0,0,0,0.5,0.4,0,0.25,0.4,0.8,0.8,0.75,1,1,0.4,0,0,satisfied
1,0,1,0,0,1,1,0,0,0.410256,0.196688,0.2,0.8,0.4,0.5,0.4,0.2,1,1,0.4,0.8,1,1,0.8,1,0.148936,0.146188,'neutral or dissatisfied'
1,0,1,0,0,1,1,0,0,0.692308,0.239499,0,0.8,0,0,1,1,1,0.8,0.8,0,0.75,0.75,0.8,0.8,0,0,satisfied
0,1,1,0,0,1,1,0,0,0.115385,0.515953,0.6,1,0.6,0.75,0.8,0.6,0.75,0.8,1,0.4,0.75,1,0.8,0.8,0.039894,0.037668,'neutral or dissatisfied'
1,0,1,0,1,0,0,1,0,0.589744,0.510703,1,1,1,1,1,0.8,1,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0,0.002691,satisfied
1,0,0,1,1,0,1,0,0,0.25641,0.192851,0.4,0.2,0.2,0.5,0.2,0.4,0,0.2,0.2,1,0,0,0.6,0.2,0.021277,0.0287,'neutral or dissatisfied'
1,0,1,0,1,0,1,0,0,0.576923,0.179321,0.6,0.8,0.8,0.75,0.6,0.4,0.25,0.6,0.6,0.6,0.5,0,0.6,0.2,0.075355,0.064574,'neutral or dissatisfied'
1,0,0,1,1,0,1,0,0,0.012821,0.416195,0.4,0.6,0.6,0.5,0.8,0.4,0.75,0.8,0.8,0.6,0.5,0.5,0.6,0.8,0.02305,0.020628,'neutral or dissatisfied'
0,1,1,0,0,1,1,0,0,0.666667,0.502827,0.2,0.2,0.2,0.5,0.2,0.6,1,0.4,0.6,0.6,0.25,1,0.4,1,0,0.001794,'neutral or dissatisfied'
0,1,1,0,1,0,0,1,0,0.602564,0.345315,0.2,0.2,0.2,0,0.8,0.8,1,0.8,0.8,0.8,0.75,0.75,0.8,0.6,0,0,satisfied
1,0,1,0,0,1,1,0,0,0.320513,0.202948,0.2,1,0.2,0.25,1,0.2,1,1,1,1,1,1,0.8,1,0.010638,0.008072,'neutral or dissatisfied'
1,0,0,1,1,0,1,0,0,0.25641,0.212036,0.2,0.2,0.2,0.75,0.4,0.2,0.25,0.4,0.2,1,0.5,0.5,0.2,0.4,0.003546,0,'neutral or dissatisfied'
0,1,1,0,0,1,1,0,0,0,0.140549,0.2,1,0.2,0.5,0.8,0.2,0.75,0.8,0.8,0.2,0,1,0.8,0.8,0,0,'neutral or dissatisfied'
1,0,1,0,0,1,0,1,0,0.74359,0.245961,0.6,1,0.6,0.25,0.8,0.8,0.75,0.6,0.6,0.6,0.5,0.75,0.6,1,0.035461,0.039462,'neutral or dissatisfied'
0,1,1,0,1,0,0,1,0,0.551282,0.521607,0.4,0.4,0.4,0.25,1,0.8,0.75,0.4,0.8,0.8,0.25,0.75,0.4,0.8,0,0.008072,satisfied
0,1,1,0,1,0,0,0,1,0.435897,0.123183,1,0.2,0.2,0,1,1,1,1,0.6,0.8,0.5,1,1,1,0,0,satisfied
1,0,1,0,1,0,0,1,0,0.538462,0.130856,0.2,0.2,0.2,0,0.4,1,0.75,0.8,0.8,0.8,0.75,0.25,0.8,0.2,0.045213,0.063677,satisfied
0,1,0,1,1,0,0,1,0,0.333333,0.07916,0.8,0.8,0.8,0.5,0.8,0.8,0.75,0.8,0.6,0.4,0.75,1,1,0.8,0,0.004484,'neutral or dissatisfied'
1,0,1,0,1,0,0,1,0,0.358974,0.767771,0.6,0.6,0.6,0.5,0.6,0.4,0.5,1,1,1,1,0.75,1,0.8,0,0.002691,satisfied
0,1,1,0,0,1,1,0,0,0.282051,0.05937,0.8,0.6,0.8,0.75,1,0.8,1,1,0.4,1,0.75,0.5,0.8,1,0,0,satisfied
1,0,1,0,0,1,1,0,0,0.730769,0.125202,0.8,1,0.8,0.75,0.4,0.8,0.75,0.4,0.4,0.8,0.25,0.5,0.4,1,0,0,'neutral or dissatisfied'
0,1,1,0,1,0,0,1,0,0.551282,0.702746,0.6,1,0.6,1,0.2,0.2,0,0.6,0.6,0.6,0.5,0.75,0.6,0.6,0,0.026009,'neutral or dissatisfied'
0,1,1,0,1,0,0,1,0,0.346154,0.734047,0.8,0.8,0.8,0.75,1,0.8,1,1,1,1,1,0.5,1,0.6,0,0,satisfied
1,0,1,0,1,0,0,1,0,0.653846,0.612682,0,1,0,0.5,0.8,0.8,0.75,0.4,0.4,0.4,0.25,0.75,0.4,0.6,0,0,satisfied
1,0,1,0,0,1,1,0,0,0.589744,0.075323,0.8,0.8,0.8,0.75,1,0.8,1,0.6,0.6,0.8,1,1,0.6,1,0.018617,0.011659,'neutral or dissatisfied'
0,1,1,0,1,0,1,0,0,0.230769,0.124192,0.8,1,1,1,0.8,0.8,0.75,0.8,0.6,0.8,1,1,0.6,0.8,0.011525,0.003587,satisfied
1,0,1,0,0,1,1,0,0,0.538462,0.033522,0.4,0.6,0.4,0.75,0.8,0.8,0.5,0.6,0.6,0.4,0.25,0.5,0.6,0.2,0.00266,0,'neutral or dissatisfied'
1,0,1,0,0,1,1,0,0,0.179487,0.074717,0.6,0.4,1,0.5,1,1,1,1,0.6,0.4,0.5,0.75,0.6,1,0.062943,0.104933,'neutral or dissatisfied'
1,0,1,0,0,1,1,0,0,0.128205,0.375808,0.2,0.2,0.2,0.25,0.2,0.2,0.25,0.2,0.4,0.8,0.25,0.25,0.6,0.2,0,0,'neutral or dissatisfied'
1,0,1,0,1,0,1,0,0,0.551282,0.015751,1,0.2,0.2,0,0.8,1,0,1,1,1,1,0.5,1,0.4,0,0.009865,satisfied
1,0,1,0,1,0,0,1,0,0.25641,0.554523,1,1,1,1,1,1,1,1,0.8,0.2,0.5,0.5,0.4,1,0.001773,0,satisfied
0,1,1,0,0,1,1,0,0,0.576923,0.018982,0.6,1,0.6,0.25,0.6,0.6,0.25,0.6,0.6,1,0.25,0,0.6,0.6,0,0,'neutral or dissatisfied'
1,0,0,1,1,0,1,0,0,0.102564,0.192851,0.4,0.4,0.4,1,0.2,0.4,0,0.2,1,1,1,1,0.8,0.2,0,0.005381,'neutral or dissatisfied'
0,1,1,0,0,1,1,0,0,0.141026,0.153877,0.8,0.8,0.8,1,0.6,0.8,0.75,0.6,0.6,0.8,1,0.75,0.8,0.6,0.080674,0.063677,satisfied
0,1,0,1,1,0,0,1,0,0.269231,0.058158,1,1,1,0.5,0.8,1,1,0.8,1,0.8,0.75,0.5,0.8,0.8,0,0,satisfied
1,0,1,0,0,1,1,0,0,0.307692,0.046446,0.6,0.8,0.6,0.75,0.6,0.6,0.5,0.6,0.2,1,0.75,0.25,0.8,0.6,0.077128,0.067265,'neutral or dissatisfied'
1,0,0,1,1,0,1,0,0,0.230769,0.03332,0.4,0.8,0.4,0.75,1,0.4,1,1,1,0.8,1,1,0.2,1,0,0.004484,'neutral or dissatisfied'
0,1,1,0,1,0,0,1,0,0.230769,0.7708,0.2,0.4,0.2,0,0.8,0.8,0.75,0.8,0.2,1,0.25,0,0.4,0.8,0,0,satisfied
1,0,1,0,0,1,1,0,0,0.807692,0.076333,0.6,1,0.6,0.5,0.4,0.8,1,1,1,0.6,0,0.5,1,0.6,0,0.012556,'neutral or dissatisfied'
0,1,1,0,1,0,0,1,0,0.333333,0.736672,0.4,0.4,0.4,0.25,1,1,1,1,0.6,0.6,1,0.25,0.4,1,0,0,satisfied
0,1,1,0,0,1,1,0,0,0.282051,0.212843,0.8,0.8,0.6,1,0.4,0.6,0.25,0.4,0.8,1,0.75,0.5,1,0.4,0.007092,0.009865,'neutral or dissatisfied'
0,1,1,0,1,0,0,1,0,0.346154,0.761511,0,0,0,0.75,0.6,0.8,0,0.4,0.4,0.4,0.25,0.25,0.4,0.4,0,0,satisfied
0,1,1,0,0,1,1,0,0,0.371795,0.158118,0.2,0,0.2,0.25,1,0.2,1,1,0.8,1,1,0,1,1,0.028369,0.010762,'neutral or dissatisfied'
1,0,1,0,1,0,0,1,0,0.423077,0.103595,0.8,0.8,0.8,0.75,0.8,0.8,0.75,0.8,0.8,0.8,0.75,0.75,0.8,1,0,0,satisfied
0,1,1,0,1,0,0,1,0,0.307692,0.316438,1,1,1,1,0.8,0.8,0.75,0.8,0.6,0.8,1,1,0.8,0.8,0,0,satisfied
1,0,1,0,1,0,1,0,0,0.448718,0.052706,1,0.4,0.4,0.25,1,0.4,0.25,1,1,1,1,0.25,1,1,0.028369,0.026009,satisfied
1,0,1,0,1,0,0,1,0,0.525641,0.103595,0.4,0.4,0.4,0.25,0.8,0.8,1,0.8,0.8,1,0.75,0.5,0.8,1,0.054965,0.041256,satisfied
1,0,1,0,1,0,1,0,0,0.371795,0.085622,0.6,0.2,0.2,0,0.6,0.6,0.5,0.6,0.8,0.8,0.5,0.75,0.6,0.6,0,0,'neutral or dissatisfied'
0,1,1,0,0,1,1,0,0,0.115385,0.055937,0.6,0.8,0.6,0.5,0.2,0.6,1,0.2,0.8,0.4,1,1,0.8,0.2,0.001773,0,'neutral or dissatisfied'
0,1,1,0,1,0,1,0,0,0.371795,0.032108,0.6,0.4,0.4,0.25,0.6,0.8,0.5,0.6,0.2,0.4,0,0.25,0.6,0.6,0,0,satisfied
1,0,1,0,0,1,1,0,0,0.038462,0.165792,0.4,1,0.4,0.25,0.8,0.4,0.75,0.8,0.8,1,1,0.75,0.8,0.8,0.000887,0.000897,'neutral or dissatisfied'
1,0,1,0,0,1,0,0,1,0.5,0.074313,0.4,0.8,0.6,0.25,0.8,0.8,1,0.8,0.8,0.6,0.75,0.75,0.8,0.6,0,0,'neutral or dissatisfied'
0,1,1,0,0,1,0,0,1,0.371795,0.345921,0.4,0.2,0.4,0.75,0.2,0.4,0,0.2,0.6,0.2,0.25,0.75,0.8,0.2,0,0,'neutral or dissatisfied'
1,0,1,0,0,1,1,0,0,0.102564,0.167811,0.2,1,0.2,0.75,0.8,0.2,0.75,0.8,0.8,0.6,0.75,1,1,0.8,0,0.000897,'neutral or dissatisfied'
0,1,0,1,1,0,0,1,0,0.166667,0.050889,1,0,1,0.25,1,1,1,1,0.8,1,1,1,1,1,0.011525,0.007175,satisfied
0,1,0,1,1,0,1,0,0,0.5,0.246769,0.6,0.6,0.6,0.5,0.4,0.6,0.25,0.4,0.2,0.8,0.75,0,0.6,0.4,0,0,'neutral or dissatisfied'
0,1,1,0,1,0,0,1,0,0.628205,0.669023,0,1,0,0,0.6,0.8,0.75,0.4,0.4,0.4,0.25,0.75,0.4,1,0,0.001794,satisfied
0,1,1,0,0,1,1,0,0,0.141026,0.284532,0.2,0.8,0.2,0,1,0.2,1,1,0.6,0.6,0.5,1,0.8,1,0.00266,0,'neutral or dissatisfied'
1,0,1,0,0,1,1,0,0,0.576923,0.489297,0.2,0.2,0.2,0.75,0.8,0.6,0.75,0.8,0.8,0.2,0.75,0.25,0.8,0.8,0,0,'neutral or dissatisfied'
0,1,1,0,0,1,1,0,0,0.666667,0.257472,0.6,1,0.4,0.5,1,0.4,1,1,0.8,0.8,0.5,1,0.8,1,0,0,'neutral or dissatisfied'
0,1,1,0,0,1,0,1,0,0.75641,0.05109,0.6,0.8,0.6,0.5,1,1,1,0.4,0.4,0.6,0.25,0.75,0.4,0.6,0,0,'neutral or dissatisfied'
1,0,1,0,1,0,0,1,0,0.397436,0.374192,0.2,0.2,0.2,0,1,0.4,1,0.8,0.8,1,0.75,0.75,0.8,1,0,0,satisfied
0,1,1,0,0,1,1,0,0,0.217949,0.113691,0.6,0.6,0.8,0.75,0.4,0.8,0.25,0.4,0.6,0.2,0.5,0,0.4,0.4,0,0,'neutral or dissatisfied'
0,1,1,0,1,0,0,0,1,0.820513,0.193861,0.4,0.2,0.2,0,0.2,0.4,0,0.2,0.4,0.6,0.75,0.75,0.6,0.2,0.00266,0,'neutral or dissatisfied'
0,1,1,0,1,0,0,1,0,0.474359,0.710218,0.8,0.2,0.8,0.75,1,1,0.75,0.8,0.8,1,0.75,1,0.8,0.8,0,0.007175,satisfied
1,0,1,0,1,0,0,1,0,0.538462,0.444871,0.2,0.2,0.2,0,0.8,1,1,0.4,0.4,0.4,0.25,0.5,0.4,0.6,0,0,satisfied
1,0,1,0,1,0,0,1,0,0.192308,0.461632,0.4,0.4,0.4,0.25,0.8,0.8,0.75,0.8,1,1,0.75,0.5,1,0.8,0.00266,0.008072,satisfied
0,1,1,0,0,1,1,0,0,0.602564,0.272213,0.2,0.8,0.2,0.25,0.2,0.2,0,0.2,0.8,1,0.75,1,1,0.2,0.009752,0.003587,'neutral or dissatisfied'
0,1,1,0,1,0,0,0,1,0.333333,0.458199,0.4,0.8,0.8,0.75,0.4,0.4,0.25,0.4,0.2,0.8,0.5,0.5,0.8,0.4,0.02039,0.041256,'neutral or dissatisfied'
1,0,1,0,1,0,0,1,0,0.371795,0.329564,1,0.6,1,1,0.8,0.8,1,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0,0,satisfied
1,0,1,0,0,1,0,1,0,0.448718,0.239297,0.8,0.2,0.8,0.5,0.8,0.4,0.5,0.2,0.2,0.8,0.25,0.5,0.2,0.8,0,0.001794,'neutral or dissatisfied'
1,0,0,1,1,0,1,0,0,0.25641,0.03231,0.4,0.2,0.6,0.5,0.8,0.6,0.75,0.8,0.2,1,0.75,0.5,0.8,0.8,0.021277,0.016143,'neutral or dissatisfied'
0,1,1,0,1,0,1,0,0,0.217949,0.068053,0,0.6,0,0,0.8,0,0.75,0.8,0.8,0.2,1,0.5,1,0.8,0.004433,0.004484,satisfied
1,0,1,0,1,0,0,1,0,0.435897,0.155695,0.6,0.8,0.6,0.5,0.4,0.8,1,1,1,0.8,1,0.75,1,0.8,0,0,satisfied
1,0,1,0,0,1,1,0,0,0.730769,0.085622,0.4,1,0.4,0.75,0.6,0.8,1,0.8,0.8,0.4,0.75,0.75,0.8,1,0,0,'neutral or dissatisfied'
1,0,1,0,0,1,1,0,0,0.730769,0.074313,0,0.4,0,0.5,0.6,0.8,0.5,0.2,0.2,0,0,0.5,0.2,0.2,0,0,satisfied
0,1,1,0,0,1,1,0,0,0.653846,0.147213,0.4,0.4,0.6,0,0.2,0.6,0,0.2,0.4,0.8,0.25,0.75,0.4,0.2,0.06383,0.053812,'neutral or dissatisfied'
0,1,1,0,1,0,0,1,0,0.538462,0.146405,0.6,0.6,0.6,0.5,0.6,0.8,0.75,0.8,0.8,0.8,0.75,0.5,0.8,1,0.007979,0,satisfied
1,0,0,1,1,0,1,0,0,0.089744,0.225767,0.6,0.6,0.6,0.5,0.4,0.6,0.5,0.4,0.4,0.2,0.5,0,0.8,0.4,0.005319,0.051121,'neutral or dissatisfied'
0,1,0,1,1,0,1,0,0,0.410256,0.031906,0.2,0.6,0.2,0.5,0.6,0.2,0.5,0.6,0.4,1,0.5,0.5,0.8,0.6,0.000887,0.001794,'neutral or dissatisfied'
0,1,1,0,1,0,0,1,0,0.628205,0.167205,0.6,0.6,0.6,0.5,0.4,0.8,0.75,1,1,1,1,0.5,1,0.8,0,0.004484,satisfied
1,0,1,0,1,0,0,1,0,0.448718,0.0208,0.8,0.8,0.8,0.75,0.6,0.8,0.75,0.8,0.8,0.8,1,0.75,0.8,1,0,0,satisfied
1,0,0,1,1,0,1,0,0,0.166667,0.14479,1,1,1,0.75,1,1,1,1,1,0.8,0.75,0.5,0.8,1,0,0,satisfied
1,0,1,0,1,0,0,1,0,0.423077,0.09067,1,1,1,1,0.8,0.8,1,0.8,0.8,0.8,0.75,1,0.8,1,0,0,satisfied
1,0,1,0,1,0,0,0,1,0.474359,0.053514,0.6,0.4,0.4,0.25,1,0.8,0.5,0.4,0.4,0.6,0.25,0.25,0.4,0.4,0.009752,0.009865,'neutral or dissatisfied'
1,0,1,0,0,1,1,0,0,0.25641,0.30836,0.4,0.8,0.2,0.25,0.2,0.2,0,0.2,0.8,0.6,1,1,0.8,0.2,0.000887,0,'neutral or dissatisfied'
0,1,0,1,1,0,1,0,0,0.25641,0.180533,0.6,0.6,0.6,0.5,1,0.6,1,1,0.8,1,0.5,0,0.8,1,0.009752,0.009865,'neutral or dissatisfied'
0,1,1,0,1,0,0,1,0,0.602564,0.800485,0.6,0.2,0.2,0,0.4,0.6,0.5,0.6,0.6,0.6,0.5,0,0.6,0.8,0,0,'neutral or dissatisfied'
0,1,1,0,0,1,1,0,0,0.358974,0.068255,1,0.8,1,0.25,1,1,0.75,1,0.6,0.2,1,0.5,1,1,0,0,satisfied
1,0,1,0,1,0,0,1,0,0.602564,0.041397,0.4,0.6,0.8,0.5,0.8,0.6,0.5,0.4,0.4,0.4,0.25,0,0.4,0.6,0.00266,0,'neutral or dissatisfied'
1,0,1,0,0,1,1,0,0,0.038462,0.104806,0.4,0.8,0.6,0.5,0.8,0.6,0.75,0.8,0.6,1,0.75,0.5,0.8,0.8,0.015957,0.011659,'neutral or dissatisfied'
1,0,1,0,1,0,0,1,0,0.128205,0.779685,0.4,0.4,0.4,0.25,0.4,0.4,0.25,0.4,0.2,0.8,0.5,0.25,0.6,0.4,0.000887,0,'neutral or dissatisfied'
0,1,1,0,1,0,0,1,0,0.653846,0.411349,0.4,0.4,0.4,0.25,0.6,0.4,0.25,0.4,0.4,0.6,0.25,0.75,0.4,0.8,0,0,'neutral or dissatisfied'
0,1,0,1,1,0,1,0,0,0.192308,0.036551,0.2,0.8,0.2,0.75,1,0.2,1,1,0.8,0.2,0.75,0.75,0.8,1,0.007979,0.009865,'neutral or dissatisfied'
1,0,1,0,1,0,0,1,0,0.423077,0.798263,0.4,0.4,0.4,0.25,1,1,0.75,1,1,1,1,1,1,0.6,0.010638,0.003587,satisfied
1,0,1,0,1,0,0,1,0,0.128205,0.056745,0.2,0.8,0.8,0.75,0.2,0.2,0,0.2,0.8,1,0.75,0.75,0.8,0.2,0.025709,0.026009,'neutral or dissatisfied'
0,1,0,1,1,0,0,1,0,0.269231,0.075323,0,0.2,0.2,0.25,0.8,0.2,0.75,0.8,0.6,0.4,0.75,1,0.8,0.8,0.027482,0.017937,satisfied
1,0,0,1,1,0,0,1,0,0.512821,0.089055,0.8,0.8,0.8,0,0.6,0.8,0.5,0.6,1,1,1,0.5,1,0.6,0.009752,0,satisfied
0,1,1,0,1,0,0,1,0,0.25641,0.263732,1,1,0.2,1,1,1,1,1,1,1,0.75,1,0.8,1,0,0,satisfied
1,0,1,0,0,1,1,0,0,0.474359,0.074919,0,0.8,0,0.75,0.6,0.8,1,0.4,0.4,0,0.25,0.75,0.4,0.8,0,0,satisfied
0,1,1,0,1,0,0,1,0,0.538462,0.747375,0.2,0.2,0.2,0,0.6,0.8,1,0.8,0.8,0.8,0.75,0.5,0.8,0.8,0,0,satisfied
1,0,1,0,1,0,1,0,0,0.538462,0.14479,1,0.2,0.2,0,0.4,0.8,1,0.8,0.8,1,0.75,0.75,0.8,1,0.04344,0.043946,satisfied
1,0,1,0,1,0,0,1,0,0.576923,0.780089,0.2,0.2,0.2,0,0.6,0.2,1,1,1,1,0.5,0,1,0.4,0,0.044843,satisfied
1,0,1,0,0,1,1,0,0,0.474359,0.232633,0.8,1,0.8,0.5,0.4,1,0.75,1,1,0.8,0.25,0.5,1,1,0.004433,0,satisfied
1,0,1,0,1,0,0,1,0,0.5,0.59168,0.6,0.6,0.6,0.5,0.8,0.8,0.75,1,0.6,0.8,1,0.75,0.8,0.8,0.368794,0.365022,satisfied
1,0,1,0,1,0,0,1,0,0.410256,0.641357,0.2,0.2,0.2,0,0.4,0.6,0.5,0.8,0.8,0.8,0.75,0.25,0.8,0.8,0.00266,0,satisfied
1,0,0,1,1,0,0,1,0,0.230769,0.185985,0.8,0.4,0.8,0,0.8,0.8,0.75,0.8,0.8,1,0.75,0.5,1,0.8,0,0,satisfied
0,1,1,0,0,1,1,0,0,0.038462,0.220719,0.2,1,0.2,0.25,0.6,0.2,0.5,0.6,1,0.6,0.5,0.5,1,0.6,0,0,'neutral or dissatisfied'
0,1,1,0,1,0,0,1,0,0.692308,0.389742,0.2,0.2,0.2,0,0.8,1,0.75,0.8,0.8,0.8,0.75,0.5,0.8,0.6,0.090426,0.086996,satisfied
0,1,1,0,0,1,1,0,0,0.74359,0.115307,0.4,0.2,0.4,0.75,1,0.4,1,1,0.8,0.8,0.75,0,0.8,1,0,0,'neutral or dissatisfied'
